45.0219 	EXP 	window1: blendMode = 'avg'
45.0384 	EXP 	window1: blendMode = 'avg'
45.0552 	EXP 	window1: blendMode = 'avg'
45.0719 	EXP 	window1: blendMode = 'avg'
45.0883 	EXP 	window1: blendMode = 'avg'
45.1052 	EXP 	window1: blendMode = 'avg'
45.1218 	EXP 	window1: blendMode = 'avg'
45.1384 	EXP 	window1: blendMode = 'avg'
45.1553 	EXP 	window1: blendMode = 'avg'
45.1718 	EXP 	window1: blendMode = 'avg'
45.1885 	EXP 	window1: blendMode = 'avg'
45.2052 	EXP 	window1: blendMode = 'avg'
45.2215 	EXP 	window1: blendMode = 'avg'
45.2384 	EXP 	window1: blendMode = 'avg'
45.2552 	EXP 	window1: blendMode = 'avg'
45.2719 	EXP 	window1: blendMode = 'avg'
45.2885 	EXP 	window1: blendMode = 'avg'
45.3052 	EXP 	window1: blendMode = 'avg'
45.3218 	EXP 	window1: blendMode = 'avg'
45.3385 	EXP 	window1: blendMode = 'avg'
45.3551 	EXP 	window1: blendMode = 'avg'
45.3718 	EXP 	window1: blendMode = 'avg'
45.3998 	EXP 	window1: blendMode = 'avg'
45.4161 	EXP 	window1: blendMode = 'avg'
45.4331 	EXP 	window1: blendMode = 'avg'
45.4534 	DATA 	Keypress: 4
45.4559 	EXP 	window1: blendMode = 'avg'
45.4709 	EXP 	hand: pos = (-80.0, 0.0)
45.4765 	EXP 	window1: blendMode = 'avg'
45.4880 	EXP 	window1: blendMode = 'avg'
45.5049 	EXP 	window1: blendMode = 'avg'
45.5215 	EXP 	window1: blendMode = 'avg'
45.5380 	EXP 	window1: blendMode = 'avg'
45.5548 	EXP 	window1: blendMode = 'avg'
45.5746 	DATA 	Keypress: 1
45.5782 	DATA 	Keypress: 2
45.5954 	EXP 	window1: blendMode = 'avg'
45.6040 	EXP 	hand: pos = (0.0, 0.0)
45.6040 	EXP 	time_left_label: text = '19'
45.6051 	EXP 	window1: blendMode = 'avg'
45.6215 	EXP 	window1: blendMode = 'avg'
45.6380 	EXP 	window1: blendMode = 'avg'
45.6548 	EXP 	window1: blendMode = 'avg'
45.6744 	DATA 	Keypress: 4
45.6759 	EXP 	window1: blendMode = 'avg'
45.6873 	EXP 	hand: pos = (-80.0, 0.0)
45.6880 	EXP 	window1: blendMode = 'avg'
45.7049 	EXP 	window1: blendMode = 'avg'
45.7215 	EXP 	window1: blendMode = 'avg'
45.7385 	EXP 	window1: blendMode = 'avg'
45.7552 	EXP 	window1: blendMode = 'avg'
45.7716 	EXP 	window1: blendMode = 'avg'
